state,year,cigsale,lnincome,beer,age15to24,retprice
Rhode Island,1970.0,123.9000015258789,,,0.18315789103507996,39.29999923706055
Tennessee,1970.0,99.80000305175781,,,0.17804381251335144,39.900001525878906
Indiana,1970.0,134.60000610351562,,,0.1765158772468567,30.600000381469727
Nevada,1970.0,189.5,,,0.16155418753623962,38.900001525878906
Louisiana,1970.0,115.9000015258789,,,0.18518517911434174,34.29999923706055
Oklahoma,1970.0,108.4000015258789,,,0.17545916140079498,38.400001525878906
New Hampshire,1970.0,265.70001220703125,,,0.17073170840740204,31.399999618530273
North Dakota,1970.0,93.80000305175781,,,0.18446601927280426,37.29999923706055
Arkansas,1970.0,100.30000305175781,,,0.16900676488876343,36.70000076293945
Virginia,1970.0,124.30000305175781,,,0.1894216239452362,28.799999237060547
Illinois,1970.0,124.80000305175781,,,0.16696669161319733,41.400001525878906
South Dakota,1970.0,92.69999694824219,,,0.17867867648601532,38.5
Utah,1970.0,65.5,,,0.20207743346691132,34.599998474121094
Georgia,1970.0,109.9000015258789,,,0.1874455064535141,34.29999923706055
Mississippi,1970.0,93.4000015258789,,,0.18313035368919373,36.20000076293945
Colorado,1970.0,124.80000305175781,,,0.19095022976398468,29.399999618530273
Minnesota,1970.0,104.30000305175781,,,0.17472411692142487,39.099998474121094
California,1970.0,123.0,,,0.17815832793712616,38.79999923706055
Texas,1970.0,106.4000015258789,,,0.18314135074615479,40.400001525878906
Kentucky,1970.0,155.8000030517578,,,0.18131014704704285,28.299999237060547
Maine,1970.0,128.5,,,0.1690140813589096,38.0
North Carolina,1970.0,172.39999389648438,,,0.19354838132858276,27.299999237060547
Montana,1970.0,111.19999694824219,,,0.17579250037670135,34.0
Vermont,1970.0,122.5999984741211,,,0.17977528274059296,37.70000076293945
Iowa,1970.0,108.5,,,0.16884955763816833,37.70000076293945
Connecticut,1970.0,120.0,,,0.1629287600517273,42.20000076293945
Kansas,1970.0,114.0,,,0.18052467703819275,34.20000076293945
Delaware,1970.0,155.0,,,0.17335766553878784,39.0
Wisconsin,1970.0,106.4000015258789,,,0.17428700625896454,38.5
Idaho,1970.0,102.4000015258789,,,0.17812061309814453,33.79999923706055
New Mexico,1970.0,90.0,,,0.18485742807388306,39.70000076293945
West Virginia,1970.0,114.5,,,0.17259174585342407,33.70000076293945
Pennsylvania,1970.0,107.30000305175781,,,0.16337598860263824,38.400001525878906
South Carolina,1970.0,103.5999984741211,,,0.20030875504016876,32.5
Ohio,1970.0,121.5999984741211,,,0.1732194870710373,36.599998474121094
Nebraska,1970.0,108.0999984741211,,,0.17373737692832947,33.900001525878906
Missouri,1970.0,121.30000305175781,,,0.16759298741817474,36.0
