fips,state,abb,year_qtr,lngdpcapita,treated,revstatecapita,revlocalcapita,avgwklywagecapita,estabscapita,emplvlcapita
1.0,Alabama,AL,1990.0,9.780259546727835,0.0,,,382.0,0.021378968927582464,0.38896089065457135
1.0,Alabama,AL,1990.25,9.792590901487836,0.0,,,388.0,0.021216394211179653,0.3961424193252957
1.0,Alabama,AL,1990.5,9.80469909253556,0.0,,,388.0,0.02130243038252415,0.39388443044772475
1.0,Alabama,AL,1990.75,9.816590987573433,0.0,,,416.0,0.021511515842491856,0.39496658504981663
1.0,Alabama,AL,1991.0,9.828273149882682,0.0,,,396.0,0.02235240620264269,0.3864803714065367
1.0,Alabama,AL,1991.25,9.841939099467655,0.0,,,404.0,0.022339628733751768,0.3904670310755793
1.0,Alabama,AL,1991.5,9.85533179173314,0.0,,,406.0,0.022658202848117752,0.39013671918386106
1.0,Alabama,AL,1991.75,9.86846050741019,0.0,,,432.0,0.022495474059304164,0.39281578542808315
1.0,Alabama,AL,1992.0,9.88133407384793,0.0,,,414.0,0.022355244830662584,0.3871094319855446
1.0,Alabama,AL,1992.25,9.88782888095939,0.0,,,416.0,0.022505787274400637,0.3928838332340704
1.0,Alabama,AL,1992.5,9.89423551380451,0.0,,,423.0,0.022552238135344498,0.39221294797680495
1.0,Alabama,AL,1992.75,9.900555884720228,0.0,,,464.0,0.02259311694852893,0.3971476007276067
1.0,Alabama,AL,1993.0,9.906791847995684,0.0,,,414.0,0.022483022883098627,0.391726594975751
1.0,Alabama,AL,1993.25,9.920296199194564,0.0,,,429.0,0.02267690597464863,0.3981762822627092
1.0,Alabama,AL,1993.5,9.933548718991156,0.0,,,438.0,0.022844955608229037,0.39719134732074246
1.0,Alabama,AL,1993.75,9.946557518609618,0.0,,,471.0,0.022961726905071284,0.40052049373981397
1.0,Alabama,AL,1994.0,9.959330331086765,0.0,,,437.0,0.022933978431675855,0.39262177377475876
1.0,Alabama,AL,1994.25,9.972936261513505,0.0,,,444.0,0.02315235256803299,0.4004276117050087
1.0,Alabama,AL,1994.5,9.986302566074649,0.0,,,460.0,0.023338006684329338,0.40250107056238016
1.0,Alabama,AL,1994.75,9.99943668309869,0.0,,,478.0,0.023567182288183133,0.4068820255319304
1.0,Alabama,AL,1995.0,10.012345714538936,0.0,,,465.0,0.023427667101098493,0.40349283187488366
1.0,Alabama,AL,1995.25,10.02157817955314,0.0,,,460.0,0.023601193438295916,0.4085645955852167
1.0,Alabama,AL,1995.5,10.030689980744008,0.0,,,464.0,0.0234594690574835,0.40866489520472843
