regionno,regionname,year,gdpcap,sec.agriculture,sec.energy,sec.industry,sec.construction,sec.services.venta,sec.services.nonventa,school.illit,school.prim,school.med,school.high,school.post.high,popdens,invest
1.0,Spain (Espana),1955.0,2.3545416380057707,,,,,,,,,,,,,
1.0,Spain (Espana),1956.0,2.480148581292622,,,,,,,,,,,,,
1.0,Spain (Espana),1957.0,2.603613148754374,,,,,,,,,,,,,
1.0,Spain (Espana),1958.0,2.63710359749335,,,,,,,,,,,,,
1.0,Spain (Espana),1959.0,2.6698801388777316,,,,,,,,,,,,,
1.0,Spain (Espana),1960.0,2.8699657502292872,,,,,,,,,,,,,
1.0,Spain (Espana),1961.0,3.0474863539965145,19.540000915527344,4.710000038146973,26.420000076293945,6.269999980926514,36.619998931884766,6.440000057220459,,,,,,,
1.0,Spain (Espana),1962.0,3.2732791677266317,,,,,,,,,,,,,
1.0,Spain (Espana),1963.0,3.493501935063754,19.049999237060547,4.309999942779541,26.049999237060547,6.829999923706055,38.0,5.769999980926514,,,,,,,
1.0,Spain (Espana),1964.0,3.600114279221004,,,,,,,2863.2783203125,18679.095703125,1064.2457275390625,359.7457275390625,212.14341735839844,,18.360183715820312
1.0,Spain (Espana),1965.0,3.7007998412283993,16.15999984741211,4.309999942779541,27.010000228881836,7.639999866485596,38.400001525878906,6.480000019073486,2826.321533203125,18805.349609375,1129.0311279296875,377.9471435546875,218.0,,20.573060989379883
1.0,Spain (Espana),1966.0,3.8234790234319216,,,,,,,2789.842041015625,18959.24609375,1201.23583984375,398.7253723144531,224.3354034423828,,22.26300048828125
1.0,Spain (Espana),1967.0,3.9396602540178254,14.119999885559082,4.139999866485596,26.739999771118164,7.670000076293945,39.56999969482422,7.760000228881836,2753.833251953125,19178.095703125,1285.103515625,422.26788330078125,231.97500610351562,,22.634765625
1.0,Spain (Espana),1968.0,4.173736005672486,,,,,,,2718.2890625,19319.001953125,1487.3807373046875,447.3210754394531,236.0500030517578,,23.11261558532715
1.0,Spain (Espana),1969.0,4.410525738460886,12.8100004196167,4.130000114440918,26.770000457763672,7.840000152587891,40.060001373291016,8.390000343322754,2683.203857421875,19459.55859375,1696.1468505859375,474.941162109375,252.25,66.33999633789062,23.823501586914062
1.0,Spain (Espana),1970.0,4.5916882285864755,,,,,,,,,,,,,23.45126724243164
1.0,Spain (Espana),1971.0,4.769065876546433,,,,,,,,,,,,,21.700725555419922
1.0,Spain (Espana),1972.0,5.0742643215219765,,,,,,,,,,,,,23.083499908447266
1.0,Spain (Espana),1973.0,5.373536202268102,,,,,,,,,,,,,24.411067962646484
1.0,Spain (Espana),1974.0,5.506783654028537,,,,,,,,,,,,,25.054624557495117
1.0,Spain (Espana),1975.0,5.632604813105854,,,,,,,,,,,,,23.15032958984375
1.0,Spain (Espana),1976.0,5.697443552679146,,,,,,,,,,,,,22.43714141845703
1.0,Spain (Espana),1977.0,5.75949726905594,,,,,,,,,,,,,21.735496520996094
1.0,Spain (Espana),1978.0,5.716652367599213,,,,,,,,,,,,,21.069114685058594
1.0,Spain (Espana),1979.0,5.687232236799531,,,,,,,,,,,,,20.066621780395508
1.0,Spain (Espana),1980.0,5.710796845432555,,,,,,,,,,,,,19.907625198364258
1.0,Spain (Espana),1981.0,5.759925700636872,,,,,,,,,,,,,19.121850967407227
1.0,Spain (Espana),1982.0,5.825264349694731,,,,,,,,,,,,,19.204309463500977
1.0,Spain (Espana),1983.0,5.89353054191548,,,,,,,,,,,,,18.444690704345703
1.0,Spain (Espana),1984.0,6.004213204012023,,,,,,,,,,,,,16.782161712646484
